Player ID,Full Name,Total Games,Total Points,Total Rebounds,Total Assists,Total Steals,Total Blocks,MVPs,Finals MVPs,All-Star Appearances,Peak PPG,Peak PPG Season,Peak RPG,Peak RPG Season,Peak APG,Peak APG Season,Peak SPG,Peak SPG Season,Peak BPG,Peak BPG Season,Total Seasons,Career Span,Position,Player Slug,Height,Country
76385,Maurice Cheeks,1182,12984,3328,7845,2434,304,0,0,4,15.6,1986-87,3.5,1979-80,9.2,1985-86,2.6,1986-87,0.5,1980-81,15,1978-79 - 1992-93,Guard,maurice-cheeks,185,USA
76454,Larry Costello,706,8622,2705,3215,0,0,0,0,6,15.8,1958-59,5.5,1959-60,6.3,1959-60,0,1954-55,0,1954-55,12,1954-55 - 1967-68,Guard,larry-costello,185,USA
600003,Bob Cousy,924,16960,4786,6955,0,0,1,0,13,21.7,1951-52,6.9,1950-51,9.5,1959-60,0,1950-51,0,1950-51,14,1950-51 - 1969-70,Guard,bob-cousy,185,USA
76462,Dave Cowens,766,13516,10444,2910,599,488,1,0,8,20.5,1972-73,16.2,1972-73,5,1976-77,1.3,1974-75,1.3,1973-74,11,1970-71 - 1982-83,Center,dave-cowens,206,USA
187,Terry Cummings,1257,19927,8913,2237,1293,660,0,0,2,23.7,1982-83,10.6,1982-83,2.9,1984-85,1.8,1982-83,1,1986-87,18,1982-83 - 1999-00,Forward,terry-cummings,206,USA
76504,Adrian Dantley,1107,26274,6392,3254,1105,187,0,0,6,30.7,1982-83,9.4,1977-78,4.8,1982-83,2.1,1977-78,0.7,1977-78,15,1976-77 - 1990-91,Forward,adrian-dantley,196,USA
905,Dale Davis,1155,8990,8980,1025,723,1335,0,0,1,11.7,1993-94,10.9,1993-94,1.5,1993-94,1,1994-95,1.8,1992-93,16,1991-92 - 2006-07,Center-Forward,dale-davis,211,USA
1453,Walter Davis,1104,20445,3234,4003,1360,136,0,0,6,24.2,1977-78,6,1977-78,5.5,1983-84,1.9,1978-79,0.3,1978-79,15,1977-78 - 1991-92,Guard,walter-davis,198,USA
76545,Dave DeBusschere,951,15294,10506,2688,67,39,0,0,8,18.2,1966-67,13.5,1967-68,3.6,1971-72,0.9,1973-74,0.5,1973-74,12,1962-63 - 1973-74,Forward,dave-debusschere,198,USA
124,Vlade Divac,1134,13398,9326,3541,1288,1631,0,0,1,16,1994-95,10.8,1993-94,5.3,2003-04,1.6,1992-93,2.2,1996-97,16,1989-90 - 2004-05,Center,vlade-divac,216,Serbia
76583,James Donaldson,1098,9204,8576,894,372,1455,0,0,1,11.8,1983-84,11.9,1986-87,1.2,1985-86,0.6,1986-87,2.1,1985-86,14,1980-81 - 1994-95,Center,james-donaldson,218,USA
17,Clyde Drexler,1162,23848,7157,6487,2343,764,0,0,10,27.2,1988-89,7.9,1988-89,8,1985-86,2.7,1988-89,0.9,1991-92,15,1983-84 - 1997-98,Guard,clyde-drexler,201,USA
